Mode,Time(s),Value
DCV,5.3241000175,5.8781713E+01
DCV,5.3396139145,5.8469413E+01
DCV,5.3624849319,5.8160304E+01
DCV,5.3778281212,5.7851344E+01
DCV,5.3933382034,5.8675265E+01
DCV,5.4166960716,5.9750724E+01
DCV,5.4321999550,5.9962505E+01
DCV,5.4473118782,5.9842906E+01
DCV,5.4700841904,5.9703564E+01
DCV,5.4855952263,5.9420969E+01
DCV,5.5086579323,5.9036891E+01
DCV,5.5242238045,5.8690102E+01
DCV,5.5393400192,5.8384093E+01
DCV,5.5617980957,5.8078595E+01
DCV,5.5775709152,5.7831572E+01
DCV,5.6005878448,5.8757486E+01
DCV,5.6159348488,5.9833697E+01
DCV,5.6313018799,5.9886183E+01
DCV,5.6538372040,5.9762491E+01
DCV,5.6694011688,5.9623240E+01
DCV,5.6851911545,5.9334535E+01
DCV,5.7076478004,5.8949314E+01
DCV,5.7226781845,5.8605835E+01
DCV,5.7453618050,5.8297779E+01
DCV,5.7608709335,5.7993154E+01
DCV,5.7763328552,5.8341357E+01
DCV,5.7989487648,5.9340975E+01
DCV,5.8139901161,5.9954861E+01
DCV,5.8364248276,5.9852867E+01
DCV,5.8497152328,5.9719063E+01
DCV,5.8724799156,5.9574184E+01
DCV,5.8876619339,5.9424339E+01
DCV,5.9101810455,5.9271094E+01
DCV,5.9255728722,5.9116524E+01
DCV,5.9410247803,5.8961352E+01
DCV,5.9636158943,5.9382326E+01
DCV,5.9786481857,6.0502446E+01
DCV,6.0011758804,6.1312854E+01
DCV,6.0168509483,6.1377559E+01
DCV,6.0326762199,6.1408347E+01
DCV,6.0556030273,6.1427517E+01
DCV,6.0707550049,6.1441090E+01
DCV,6.0931429863,6.1451714E+01
DCV,6.1090569496,6.1458877E+01
DCV,6.1247911453,6.1465769E+01
DCV,6.1475348473,6.1471487E+01
DCV,6.1628727913,6.1477145E+01
DCV,6.1856598854,6.1483615E+01
DCV,6.2014269829,6.1488972E+01
DCV,6.2170119286,6.1492042E+01
DCV,6.2394180298,6.1495714E+01
DCV,6.2544441223,6.1499686E+01
DCV,6.2773280144,6.1503298E+01
DCV,6.2930469513,6.1506969E+01
DCV,6.3086829185,6.1509347E+01
DCV,6.3315238953,6.1511634E+01
DCV,6.3466138840,6.1514674E+01
DCV,6.3620219231,6.1517382E+01
DCV,6.3852839470,6.1518887E+01
DCV,6.4029421806,6.1521836E+01
DCV,6.4183959961,6.1524575E+01
DCV,6.4414677620,6.1526922E+01
DCV,6.4570741653,6.1529661E+01
DCV,6.4727602005,6.1530684E+01
DCV,6.4957079887,6.1530052E+01
DCV,6.5108370781,6.1531858E+01
DCV,6.5261459351,6.1533724E+01
DCV,6.5492811203,6.1536914E+01
DCV,6.5648732185,6.1538780E+01
DCV,6.5876140594,6.1540285E+01
DCV,6.6029729843,6.1541759E+01
