Time,Power
2.323120,68.88
2.323200,68.88
2.323280,68.88
2.323360,68.88
2.323440,49.2
2.323520,68.88
2.323600,68.88
2.323680,68.88
2.323760,68.32
2.323840,68.88
2.323920,68.88
2.324000,68.88
2.324080,68.88
2.324160,68.88
2.324240,68.88
2.324320,68.88
2.324400,68.88
2.324480,68.88
2.324560,68.88
2.324640,68.88
2.324720,68.32
2.324800,68.88
2.324880,68.88
2.324960,68.88
2.325040,68.88
2.325120,68.32
2.325200,68.32
2.325280,68.88
2.325360,68.32
2.325440,68.88
2.325520,68.88
2.325600,68.32
2.325680,68.88
2.325760,68.88
2.325840,68.88
2.325920,68.32
2.326000,68.88
2.326080,68.88
2.326160,68.88
2.326240,68.88
2.326320,68.32
2.326400,68.88
2.326480,68.88
2.326560,68.88
2.326640,68.88
2.326720,68.88
2.326800,68.32
2.326880,68.88
2.326960,68.32
2.327040,68.88
2.327120,68.88
2.327200,49.2
2.327280,68.88
2.327360,68.88
2.327440,68.88
2.327520,68.88
2.327600,68.88
2.327680,68.88
2.327760,68.88
2.327840,68.88
2.327920,68.88
2.328000,68.88
2.328080,49.2
2.328160,68.88
2.328240,68.88
2.328320,68.88
2.328400,68.88
2.328480,88.56
2.328560,68.88
2.328640,68.88
2.328720,68.32
2.328800,68.88
2.328880,68.88
2.328960,68.88
2.329040,68.88
2.329120,68.88
2.329200,49.2
2.329280,68.88
2.329360,68.88
2.329440,68.88
2.329520,68.88
2.329600,68.88
2.329680,68.88
2.329760,68.88
2.329840,68.32
2.329920,68.88
2.330000,68.88
2.330080,68.88
2.330160,68.88
2.330240,68.88
2.330320,68.88
2.330400,68.88
2.330480,68.32
2.330560,68.88
2.330640,68.88
2.330720,68.32
2.330800,68.32
2.330880,68.88
2.330960,68.88
2.331040,68.88
2.331120,68.88
2.331200,68.88
2.331280,68.88
2.331360,68.88
2.331440,68.88
2.331520,68.88
2.331600,68.88
2.331680,68.88
2.331760,68.32
2.331840,68.88
2.331920,68.88
2.332000,68.88
2.332080,68.88
2.332160,68.32
2.332240,68.32
2.332320,68.88
2.332400,68.32
2.332480,68.88
2.332560,68.88
2.332640,68.32
2.332720,68.88
2.332800,68.32
2.332880,68.32
2.332960,68.88
2.333040,88.56
2.333120,68.88
2.333200,68.88
2.333280,68.88
2.333360,68.88
2.333440,68.88
2.333520,68.88
2.333600,68.88
2.333680,68.88
2.333760,68.32
2.333840,68.32
2.333920,68.88
2.334000,68.88
2.334080,68.88
2.334160,68.88
2.334240,68.88
2.334320,68.88
2.334400,68.88
2.334480,68.88
2.334560,68.88
2.334640,68.88
2.334720,68.88
2.334800,68.88
2.334880,68.32
2.334960,68.88
2.335040,68.88
2.335120,68.32
2.335200,68.88
2.335280,68.88
2.335360,68.88
2.335440,68.88
2.335520,68.88
2.335600,68.88
2.335680,68.88
2.335760,68.88
2.335840,68.32
2.335920,68.88
2.336000,68.88
2.336080,68.88
2.336160,68.88
2.336240,68.88
2.336320,68.32
2.336400,68.88
2.336480,68.88
2.336560,68.88
2.336640,68.88
2.336720,68.88
2.336800,68.32
2.336880,68.88
2.336960,68.88
2.337040,68.88
2.337120,68.32
2.337200,68.88
2.337280,68.88
2.337360,68.88
2.337440,68.88
2.337520,68.88
2.337600,68.88
2.337680,68.88
2.337760,68.88
2.337840,68.88
2.337920,68.88
2.338000,68.88
2.338080,68.32
2.338160,68.88
2.338240,68.88
2.338320,68.88
2.338400,68.88
2.338480,68.32
2.338560,68.32
2.338640,87.84
2.338720,68.88
2.338800,68.88
2.338880,68.88
2.338960,68.88
2.339040,68.88
2.339120,68.88
2.339200,68.88
2.339280,68.88
2.339360,68.88
2.339440,49.2
2.339520,68.88
2.339600,68.88
2.339680,68.88
2.339760,68.88
2.339840,68.88
2.339920,68.88
2.340000,68.88
2.340080,68.88
2.340160,68.88
2.340240,68.32
2.340320,68.88
2.340400,68.88
2.340480,68.88
2.340560,68.88
2.340640,68.88
2.340720,68.88
2.340800,68.88
2.340880,68.88
2.340960,68.88
2.341040,68.88
2.341120,68.88
2.341200,68.88
2.341280,68.88
2.341360,68.88
2.341440,68.32
2.341520,68.88
2.341600,87.84
2.341680,68.88
2.341760,88.56
2.341840,68.88
2.341920,68.88
2.342000,68.88
2.342080,68.88
2.342160,68.32
2.342240,68.88
2.342320,68.88
2.342400,68.88
2.342480,68.88
2.342560,68.88
2.342640,68.88
2.342720,68.88
2.342800,68.88
2.342880,49.2
2.342960,88.56
2.343040,68.88
2.343120,49.2
2.343200,68.88
2.343280,68.32
2.343360,68.88
2.343440,68.88
2.343520,68.88
2.343600,68.88
2.343680,68.32
2.343760,68.88
2.343840,87.84
2.343920,68.32
2.344000,88.56
2.344080,68.88
2.344160,68.88
2.344240,49.2
2.344320,49.2
2.344400,68.88
2.344480,68.88
2.344560,88.56
2.344640,68.32
2.344720,68.32
2.344800,68.88
2.344880,68.32
2.344960,49.2
2.345040,68.88
2.345120,68.88
2.345200,49.2
2.345280,68.32
2.345360,68.88
2.345440,68.88
2.345520,88.56
2.345600,68.88
2.345680,68.88
2.345760,68.88
2.345840,68.88
2.345920,68.88
2.346000,68.88
2.346080,68.88
2.346160,68.88
2.346240,48.8
2.346320,68.88
2.346400,68.32
2.346480,68.88
2.346560,68.88
2.346640,68.88
2.346720,68.88
2.346800,68.88
2.346880,68.88
2.346960,68.88
2.347040,68.88
2.347120,68.88
2.347200,68.88
2.347280,68.88
2.347360,68.32
2.347440,68.88
2.347520,68.88
2.347600,68.32
2.347680,68.88
2.347760,68.88
2.347840,68.32
2.347920,68.88
2.348000,68.88
2.348080,68.88
2.348160,88.56
2.348240,68.88
2.348320,68.88
2.348400,68.32
2.348480,68.88
2.348560,68.32
2.348640,68.32
2.348720,68.32
2.348800,68.88
2.348880,68.88
2.348960,68.88
2.349040,68.88
2.349120,68.88
2.349200,68.88
2.349280,68.88
2.349360,68.88
2.349440,68.88
2.349520,68.88
2.349600,68.88
2.349680,68.88
2.349760,68.32
2.349840,68.88
2.349920,68.32
