Time,Electrical Power,Mechanical Power
0.41400000000000003,275.3437289992322,40.30242823303013
0.41600000000000004,294.9558214510889,44.67902772632391
0.418,290.7315596262824,49.42646542889851
0.42,306.3941937622659,59.30881928148763
0.422,334.5587824509453,86.57855840443492
0.424,327.8061358867881,72.14660217701979
0.426,337.2689445178918,72.28190828944653
0.428,332.5560818458556,80.42124306969183
0.43,376.269997071105,111.0434312363495
0.432,35.38564921437429,-6.939291138236809
0.434,48.334695647785296,-0.44660022332577576
0.436,49.85523802039162,2.5739036887521505
0.438,49.891949170015224,4.12152505672932
0.44,49.92506705554969,4.4454653650576805
0.442,49.947717522952,3.64690128242695
0.444,49.05210557975047,0.29882237712795123
0.446,40.070722482871155,-3.710880540300411
0.448,32.81854990733056,-6.997529209886536
0.45,23.859022473445776,-11.13648049581277
0.452,17.643698146931698,-14.056502930094
0.454,10.284410498175745,-17.5686362209314
0.456,5.716720245275084,-19.78484157069005
0.458,1.3657901951359008,-21.82427297489588
0.46,95.7514891253244,-24.3750018955932
0.462,97.60037904767665,-25.564260472284946
0.464,97.94971657814257,-27.588861495087492
0.466,96.90697911201352,-28.249053635191785
0.468,96.27349127248064,-28.76198688954909
0.47000000000000003,97.79157433302422,-30.171107851071287
0.47200000000000003,97.9408754048293,-30.2975483884581
0.47400000000000003,98.3445752142975,-30.34336010172501
0.47600000000000003,101.77498535428951,-30.92918893120632
0.47800000000000004,101.74073837634596,-31.19485025789632
0.48,102.68662154568455,-30.97677676318377
0.482,103.16147549027335,-30.893947507606242
0.484,102.65641365665215,-31.38875601344797
0.486,103.89175023323902,-31.01903365192427
0.488,106.94533242215432,-30.747634987819936
0.49,107.13670926657122,-30.62767283391819
0.492,108.10617731146047,-31.24492353014261
0.494,109.2192516613445,-30.714068555585428
0.496,109.80135087909852,-30.424162075177602
0.498,110.45863980146638,-30.097474651326387
0.5,111.21165277063996,-29.719841601345976
0.502,111.67556318703677,-29.4840363284398
0.504,105.7476171956329,-29.4896555972001
0.506,100.14981291165066,-29.352097039610577
0.508,101.35581940046399,-28.7524560817531
0.51,102.26009836228577,-28.29570132468474
0.512,103.11485013285623,-27.87060936680156
0.514,103.7431841544688,-27.53243254168978
0.516,104.68293292329086,-27.08799974586201
0.518,105.383693406381,-26.74008406117416
0.52,106.29324661123309,-26.25842276672691
0.522,107.62982702147288,-25.622144407399738
0.524,108.56654816253325,-25.14570561699105
0.526,108.86109206028881,-25.004194998708435
0.528,118.03860184706548,-20.012993690388132
0.53,112.14567814864463,-23.363915966885177
0.532,115.24040108930606,-22.817137636679313
0.534,114.23775708445692,-22.32274413842048
0.536,115.12171011979251,-21.881132277345632
0.538,115.96242883886035,-21.46463740217631
0.54,116.7289683600306,-21.081567902657234
0.542,117.48615067919278,-20.70363180957567
0.544,118.19556176756154,-20.34615125976174
0.546,118.9602876213265,-19.966468277290165
0.548,116.70491921977236,-18.808942745219767
0.55,114.49788235955101,-17.478540858607033
0.552,114.75909807860066,-17.442214058640666
0.554,115.38112941701026,-17.135307271718833
0.556,115.84165630010177,-16.87144731256589
0.558,114.52102979157706,-16.568408082801675
0.56,116.96407852741208,-16.276631019926363
0.562,115.43906419343031,-16.050547254621833
0.5640000000000001,117.90324507540387,-15.773634295588828
0.5660000000000001,116.44796281789735,-15.534386935072003
0.5680000000000001,117.01693382969688,-15.285523890449475
0.5700000000000001,119.15308112621886,-15.115278398084023
0.5720000000000001,117.8131164723225,-14.856871302392982
0.5740000000000001,120.60933684691258,-14.837038347511683
0.5760000000000001,116.96502436522266,-14.328328127311726
0.578,119.16198787969385,-14.15576334626454
0.58,117.61847971066115,-13.95571485510997
0.582,119.93356904705743,-13.734130938671269
0.584,118.3140498783983,-13.569090227348589
0.586,120.63707983160262,-13.352042986221631
0.588,119.00669058461858,-13.191216909959508
0.59,121.32784101768488,-12.978977162328952
0.592,119.74349038154978,-12.817982591627885
0.594,120.06423372174447,-12.791362626922679
0.596,110.74331905848896,-12.810477741471841
0.598,111.09577330209784,-12.79204530345947
0.6,111.76810264783906,-12.818352262550505
0.602,112.13766703361775,-12.807192102158279
0.604,112.80142929255199,-12.840776271051878
0.606,111.73926239334853,-12.861251019917296
0.608,112.19009821124058,-12.900757272468113
0.61,112.73316941232493,-12.915989134483603
0.612,111.82321114833232,-12.932071131360138
0.614,115.08018865608065,-12.281559026176705
0.616,112.88333309725846,-12.82380729728519
0.618,112.71102018290412,-12.910070744031065
0.62,112.65541540509344,-12.930780864194727
0.622,112.55861675252908,-12.98680719775323
0.624,110.97683911726642,-13.027854543813554
0.626,110.93073342989663,-13.051647233734847
0.628,110.87868336362766,-13.078607936313023
0.63,109.29572329317526,-13.119852017669183
0.632,111.02974246908984,-12.959197299226553
0.634,109.49961335870029,-13.018224297773175
0.636,109.44938634565187,-13.044494810979227
0.638,109.36380747132392,-13.080154310552931
0.64,109.37202239875784,-13.083603996259754
0.642,109.27341442474948,-13.115522427307212
0.644,109.33138048988022,-13.104456614788035
0.646,109.2821396996615,-13.129033870567676
0.648,109.28919289814667,-13.119686311086891
0.65,107.7740103864195,-13.131073178758363
