Time,Electrical Power,Mechanical Power
0.182,84.81925566841912,-118.02005498568289
0.184,76.17369654524805,-120.2074537025512
0.186,84.66080976176242,-122.78129421413206
0.188,92.42931747774746,-118.1166436273935
0.19,73.15181774779906,-124.78295969183533
0.192,81.3928644689518,-125.85744461220071
0.194,79.45433349475621,-126.72073051434924
0.196,78.75129234430158,-127.01006104691173
0.198,74.1624603289822,-127.24370191853757
0.2,73.16888256569855,-127.65310035970919
0.202,83.27462700906997,-127.81760909469217
0.20400000000000001,83.54110833312507,-127.62224438492805
0.20600000000000002,80.39133907789824,-128.2295917425493
0.20800000000000002,80.54677897122198,-128.0798259817748
0.21,77.97874212263704,-128.29920656309602
0.212,77.94242282436556,-127.4930840609899
0.214,78.88647870742435,-126.96579280799992
0.216,80.61080714457516,-126.08558425736635
0.218,82.25501801878909,-125.23700307887374
0.22,83.37894229457315,-124.58780820276286
0.222,80.44637736896983,-124.01423364343205
0.224,90.04724330625501,-123.68847282644879
0.226,77.55276230303488,-123.78608228542683
0.228,80.82823393931308,-123.65579570438248
0.23,86.11135864043085,-124.01983433145602
0.232,86.62822705377968,-123.77090980182038
0.234,73.25764203838386,-123.44239500627793
0.23600000000000002,86.07804394876644,-122.79289802245053
0.23800000000000002,88.81262567544414,-121.56874519514295
0.24,90.81761506327264,-120.64540009212297
0.242,83.33560415717375,-119.15388654033168
0.244,86.54162491184523,-117.6996611489318
0.246,97.38869527371882,-116.09644261804803
0.248,91.3313556903602,-114.26562866415294
0.25,99.14139557963117,-112.3371226233308
0.252,89.89823469815241,-110.25744693032583
0.254,99.25656258776745,-108.06500862072035
0.256,106.20743487631148,-105.97953866151967
0.258,104.13751615898214,-103.35822271155963
0.26,115.09431176095285,-100.86042152513546
0.262,109.76952975581449,-98.03360691192131
0.264,120.75488691355156,-95.08881178802761
0.266,127.29576588847874,-92.0555409852879
0.268,124.37924286552399,-89.15124559671762
0.27,133.0205909410545,-86.03222387124805
0.272,128.36234580854335,-83.10860590481249
0.274,139.09908169707873,-79.83504071004984
0.276,140.7969280423305,-76.07618432308378
0.278,160.78249946780517,-59.0232612972695
0.28,158.3686116251111,-67.73818458236401
0.28200000000000003,156.66153029314194,-64.21980371612648
0.28400000000000003,160.72271246266598,-60.74336942617178
0.28600000000000003,169.30334960249525,-57.32614383782351
0.28800000000000003,170.02589740693173,-53.71636613758759
0.29,197.11783077951517,-33.71447466832775
0.292,196.23707591653476,-26.49689441256952
0.294,198.22567961579952,-36.84310392541583
0.296,198.04916399691942,-32.33238558693355
0.298,211.77014841189293,-27.608524597348712
0.3,208.63719242753555,-22.481407580374558
0.302,242.71733305928583,2.139315734264585
0.304,251.47368369067877,12.204339504207496
0.306,242.1107434593789,1.9606788845173213
0.308,256.6591919650848,8.663665985503506
0.31,87.34280024861359,-23.77065590066394
0.312,49.88508628262281,15.132564110739684
0.314,49.937178769414935,12.999787036493366
0.316,49.884017906545665,7.2958735925267835
0.318,41.557196040590505,-1.8616087158032473
0.32,24.073155256257223,-10.102896765717182
0.322,93.66043522431903,-17.71228752947758
0.324,85.11832689390228,-24.656151601715525
0.326,81.64902905365952,-30.848047661821905
0.328,86.35796273141905,-33.334051800838644
0.33,83.77263838106929,-37.40273355804574
0.332,82.17934035214276,-40.97364566237949
0.334,81.42473175735412,-44.61210762088372
0.336,76.78849580082496,-46.179463450292594
0.338,79.14724469413687,-48.1200970135141
0.34,75.19961175213649,-49.718105805161194
0.342,79.41628353259165,-50.93018186620622
0.34400000000000003,76.38045324247031,-53.39194261153352
0.34600000000000003,76.9071911185203,-52.14477711736223
0.34800000000000003,81.59304951152225,-53.40588888032135
0.35000000000000003,81.31892256145883,-53.266701799159314
0.352,81.28797931011977,-53.31658007402245
0.354,75.39465888199084,-53.25628338633025
0.356,69.39891428888987,-53.208383221579695
0.358,69.73458129200154,-53.055515497389244
0.36,70.56029685442573,-52.712314138788436
0.362,71.47469257708181,-52.326521175978584
0.364,72.16583518841153,-52.00777576287287
0.366,73.24579870031849,-51.54197657353197
0.368,80.15127440887517,-50.75743842619216
